Assignment_3 
 Author: Cheng Chen Yang (ccy3); Yi Hsuan Liao (yhliao4)

Question1
  Storm ID      Name  Distance
  AL051870   UNNAMED   2300.29
  AL061870   UNNAMED   1478.03
  AL071870   UNNAMED      0.00
  AL081870   UNNAMED    699.37
  AL091870   UNNAMED   1171.24
  AL101870   UNNAMED      0.00
  AL111870   UNNAMED    597.75
  AL011871   UNNAMED   1219.91
  AL021871   UNNAMED    687.32
  AL031871   UNNAMED   1509.32
  AL041871   UNNAMED   4487.49
  AL051871   UNNAMED   1078.74
  AL061871   UNNAMED    898.90
  AL071871   UNNAMED   1745.87
  AL081871   UNNAMED   2042.68
  AL011872   UNNAMED    720.69
  AL021872   UNNAMED   3396.31
  AL031872   UNNAMED   2063.43
  AL041872   UNNAMED   2429.49
  AL051872   UNNAMED   1929.98
  AL011873   UNNAMED    600.18
  AL021873   UNNAMED   4613.49
  AL031873   UNNAMED   1321.99
  AL041873   UNNAMED   1229.09
  AL051873   UNNAMED   3334.14
  AL011874   UNNAMED    729.03
  AL021874   UNNAMED   1588.10
  AL031874   UNNAMED   3308.28
  AL041874   UNNAMED    780.49
  AL051874   UNNAMED   1570.92
  AL061874   UNNAMED   2395.35
  AL071874   UNNAMED    800.81
  AL011875   UNNAMED   1045.31
  AL021875   UNNAMED   3332.09
  AL031875   UNNAMED   3053.92
  AL041875   UNNAMED    869.43
  AL051875   UNNAMED   1280.32
  AL061875   UNNAMED   1504.29
  AL011876   UNNAMED    672.99
  AL021876   UNNAMED   2857.78
  AL031876   UNNAMED   1148.79
  AL041876   UNNAMED   1810.17
  AL051876   UNNAMED   2068.38
  AL011877   UNNAMED   1802.48
  AL021877   UNNAMED   1440.71
  AL031877   UNNAMED   1713.64
  AL041877   UNNAMED   3820.97
  AL051877   UNNAMED   1325.28
  AL061877   UNNAMED   1850.40
  AL071877   UNNAMED   1751.51
  AL081877   UNNAMED   2005.65
  AL011878   UNNAMED    689.80
  AL021878   UNNAMED   2392.06
  AL031878   UNNAMED   1100.81
  AL041878   UNNAMED   1939.98
  AL051878   UNNAMED   3152.91
  AL061878   UNNAMED   1539.34
  AL071878   UNNAMED   3292.03
  AL081878   UNNAMED   3127.95
  AL091878   UNNAMED   2493.42
  AL101878   UNNAMED   1841.22
  AL111878   UNNAMED   2379.56
  AL121878   UNNAMED   1592.71
  AL011879   UNNAMED   1291.17
  AL021879   UNNAMED   3208.79
  AL031879   UNNAMED   1717.88
  AL041879   UNNAMED    817.04
  AL051879   UNNAMED   1349.48
  AL061879   UNNAMED   2404.20
  AL071879   UNNAMED   2362.26
  AL081879   UNNAMED   2219.42
  AL011880   UNNAMED    578.45
  AL021880   UNNAMED   2672.91
  AL031880   UNNAMED   1705.09
  AL041880   UNNAMED   1834.41
  AL051880   UNNAMED   1966.42
  AL061880   UNNAMED   2142.79
  AL071880   UNNAMED   1573.41
  AL081880   UNNAMED   2062.13
  AL091880   UNNAMED   1738.73
  AL101880   UNNAMED   1582.97
  AL111880   UNNAMED   1537.99
  AL011881   UNNAMED    570.83
  AL031881   UNNAMED   1922.87
  AL021881   UNNAMED    681.78
  AL041881   UNNAMED   2288.98
  AL051881   UNNAMED   2166.77
  AL061881   UNNAMED   1419.91
  AL071881   UNNAMED   2280.54
  AL011882   UNNAMED    472.57
  AL021882   UNNAMED   3294.36
  AL031882   UNNAMED    369.82
  AL041882   UNNAMED    824.37
  AL051882   UNNAMED   1552.85
  AL061882   UNNAMED   1994.75
  AL011883   UNNAMED   4191.58
  AL021883   UNNAMED   4089.98
  AL031883   UNNAMED   2212.55
  AL041883   UNNAMED   3279.51
  AL011884   UNNAMED   2509.27
  AL021884   UNNAMED   3616.55
  AL031884   UNNAMED   3958.79
  AL041884   UNNAMED   1518.89
  AL011885   UNNAMED   2738.68
  AL021885   UNNAMED   3435.49
  AL031885   UNNAMED    923.15
  AL041885   UNNAMED   2417.01
  AL051885   UNNAMED    790.13
  AL061885   UNNAMED   1145.31
  AL071885   UNNAMED   1071.49
  AL081885   UNNAMED   1166.40
  AL011886   UNNAMED    705.07
  AL021886   UNNAMED   2250.96
  AL031886   UNNAMED   1581.90
  AL041886   UNNAMED   4089.80
  AL051886   UNNAMED   2874.80
  AL061886   UNNAMED   3681.82
  AL071886   UNNAMED   2886.37
  AL081886   UNNAMED   2148.33
  AL091886   UNNAMED    709.04
  AL101886   UNNAMED   1099.88
  AL111886   UNNAMED    881.53
  AL121886   UNNAMED   1173.66
  AL011887   UNNAMED   1487.30
  AL021887   UNNAMED    981.38
  AL031887   UNNAMED    756.38
  AL041887   UNNAMED   2679.26
  AL051887   UNNAMED   2085.80
  AL061887   UNNAMED   3970.87
  AL071887   UNNAMED   3501.74
  AL081887   UNNAMED   3001.74
  AL091887   UNNAMED   2653.00
  AL101887   UNNAMED   1918.29
  AL111887   UNNAMED    730.84
  AL121887   UNNAMED    358.37
  AL131887   UNNAMED   3711.95
  AL141887   UNNAMED    828.46
  AL151887   UNNAMED   1292.93
  AL161887   UNNAMED   4261.52
  AL171887   UNNAMED   1629.39
  AL181887   UNNAMED   2741.89
  AL191887   UNNAMED   1492.05
  AL011888   UNNAMED    324.69
  AL021888   UNNAMED    374.63
  AL031888   UNNAMED   3615.64
  AL041888   UNNAMED   2047.96
  AL051888   UNNAMED   2043.49
  AL061888   UNNAMED   1599.23
  AL071888   UNNAMED   1828.36
  AL081888   UNNAMED   1962.24
  AL091888   UNNAMED   3478.72
  AL011889   UNNAMED   1404.22
  AL021889   UNNAMED   1943.43
  AL031889   UNNAMED   1480.40
  AL041889   UNNAMED   2247.43
  AL051889   UNNAMED   3146.87
  AL061889   UNNAMED   4340.98
  AL071889   UNNAMED   2318.26
  AL081889   UNNAMED   2367.56
  AL091889   UNNAMED   2923.68
  AL011890   UNNAMED    299.54
  AL021890   UNNAMED   2368.07
  AL031890   UNNAMED   3860.46
  AL041890   UNNAMED    306.50
  AL011891   UNNAMED   1026.69
  AL021891   UNNAMED   3193.93
  AL031891   UNNAMED   1749.84
  AL041891   UNNAMED   3154.12
  AL051891   UNNAMED   2613.48
  AL061891   UNNAMED   3383.08
  AL071891   UNNAMED   1832.81
  AL081891   UNNAMED   2660.67
  AL091891   UNNAMED   2329.91
  AL101891   UNNAMED   1687.13
  AL011892   UNNAMED   1344.69
  AL021892   UNNAMED   3703.24
  AL031892   UNNAMED   4311.57
  AL041892   UNNAMED   3021.96
  AL051892   UNNAMED   2736.75
  AL061892   UNNAMED    444.06
  AL071892   UNNAMED   2550.59
  AL081892   UNNAMED   1876.15
  AL091892   UNNAMED   1766.24
  AL011893   UNNAMED   2546.68
  AL021893   UNNAMED    922.32
  AL031893   UNNAMED   4409.27
  AL041893   UNNAMED   4151.07
  AL051893   UNNAMED   1753.43
  AL061893   UNNAMED   6104.13
  AL071893   UNNAMED   2670.18
  AL081893   UNNAMED   1242.91
  AL091893   UNNAMED   5278.81
  AL101893   UNNAMED   2080.68
  AL111893   UNNAMED   1461.11
  AL121893   UNNAMED   2466.48
  AL011894   UNNAMED    510.18
  AL021894   UNNAMED    490.89
  AL031894   UNNAMED   3708.51
  AL041894   UNNAMED   3339.89
  AL051894   UNNAMED   3197.13
  AL061894   UNNAMED   2079.03
  AL071894   UNNAMED   3508.91
  AL011895   UNNAMED    444.58
  AL021895   UNNAMED   2463.46
  AL031895   UNNAMED   2751.86
  AL041895   UNNAMED   1428.05
  AL051895   UNNAMED   4940.57
  AL061895   UNNAMED    978.65
  AL011896   UNNAMED   2777.39
  AL021896   UNNAMED   2673.49
  AL031896   UNNAMED   4234.54
  AL041896   UNNAMED   2730.54
  AL051896   UNNAMED   2876.49
  AL061896   UNNAMED   3354.07
  AL071896   UNNAMED    533.11
  AL011897   UNNAMED   3807.48
  AL021897   UNNAMED   1041.41
  AL031897   UNNAMED   2162.10
  AL041897   UNNAMED    560.96
  AL051897   UNNAMED   3460.95
  AL061897   UNNAMED   2119.63
  AL011898   UNNAMED    573.64
  AL021898   UNNAMED    494.64
  AL031898   UNNAMED    965.80
  AL041898   UNNAMED   4650.74
  AL051898   UNNAMED   2138.59
  AL061898   UNNAMED   1531.90
  AL071898   UNNAMED   3807.20
  AL081898   UNNAMED    723.80
  AL091898   UNNAMED   3091.84
  AL101898   UNNAMED    692.53
  AL111898   UNNAMED   1872.51
  AL011899   UNNAMED    240.37
  AL021899   UNNAMED   1336.19
  AL031899   UNNAMED   7511.87
  AL041899   UNNAMED   3183.01
  AL051899   UNNAMED   4116.65
  AL061899   UNNAMED   2901.43
  AL071899   UNNAMED    859.49
  AL081899   UNNAMED    887.98
  AL091899   UNNAMED   4112.35
  AL101899   UNNAMED   1186.36
  AL011900   UNNAMED   6906.73
  AL021900   UNNAMED   3659.62
  AL031900   UNNAMED   3268.24
  AL041900   UNNAMED   1069.61
  AL051900   UNNAMED   3324.63
  AL061900   UNNAMED   2411.12
  AL071900   UNNAMED   2244.80
  AL011901   UNNAMED   1269.14
  AL021901   UNNAMED   2809.02
  AL031901   UNNAMED   2578.26
  AL041901   UNNAMED   3765.53
  AL051901   UNNAMED   1061.84
  AL061901   UNNAMED   1222.40
  AL071901   UNNAMED   4868.20
  AL081901   UNNAMED   3761.67
  AL091901   UNNAMED    678.43
  AL101901   UNNAMED   4456.00
  AL111901   UNNAMED   3209.94
  AL121901   UNNAMED    996.67
  AL131901   UNNAMED   1654.71
  AL011902   UNNAMED   2231.14
  AL021902   UNNAMED   2066.62
  AL031902   UNNAMED   3902.51
  AL041902   UNNAMED   2883.91
  AL051902   UNNAMED   1708.77
  AL011903   UNNAMED   2395.81
  AL021903   UNNAMED   3392.00
  AL031903   UNNAMED   1257.19
  AL041903   UNNAMED   1910.44
  AL051903   UNNAMED   1707.34
  AL061903   UNNAMED   2391.32
  AL071903   UNNAMED   2690.14
  AL081903   UNNAMED    852.00
  AL091903   UNNAMED   2509.37
  AL101903   UNNAMED   2149.31
  AL011904   UNNAMED    713.23
  AL021904   UNNAMED   2834.24
  AL031904   UNNAMED    925.48
  AL041904   UNNAMED   1336.36
  AL051904   UNNAMED   2834.97
  AL061904   UNNAMED   2569.99
  AL011905   UNNAMED    834.80
  AL021905   UNNAMED    829.69
  AL031905   UNNAMED   1315.72
  AL041905   UNNAMED   3511.14
  AL051905   UNNAMED   1423.85
  AL011906   UNNAMED   1402.81
  AL021906   UNNAMED   2142.10
  AL031906   UNNAMED   1000.09
  AL041906   UNNAMED   6492.80
  AL051906   UNNAMED   3351.19
  AL061906   UNNAMED   1959.73
  AL071906   UNNAMED   3196.92
  AL081906   UNNAMED   2813.36
  AL091906   UNNAMED   1009.88
  AL101906   UNNAMED   1176.00
  AL111906   UNNAMED    883.76
  AL011907   UNNAMED   2550.68
  AL021907   UNNAMED   1263.97
  AL031907   UNNAMED   1442.41
  AL041907   UNNAMED   1190.72
  AL051907   UNNAMED   1385.15
  AL011908   UNNAMED    649.71
  AL021908   UNNAMED   1831.32
  AL031908   UNNAMED   2302.66
  AL041908   UNNAMED    611.90
  AL051908   UNNAMED    808.08
  AL061908   UNNAMED   3955.41
  AL071908   UNNAMED    318.98
  AL081908   UNNAMED   3586.37
  AL091908   UNNAMED    463.89
  AL101908   UNNAMED   1445.88
  AL011909   UNNAMED    285.33
  AL021909   UNNAMED    841.69
  AL031909   UNNAMED   1614.34
  AL041909   UNNAMED   2492.89
  AL051909   UNNAMED   1304.41
  AL061909   UNNAMED   2526.81
  AL071909   UNNAMED    765.63
  AL081909   UNNAMED    840.51
  AL091909   UNNAMED   1872.31
  AL101909   UNNAMED   1215.29
  AL111909   UNNAMED   2252.33
  AL121909   UNNAMED   1672.31
  AL011910   UNNAMED   2024.13
  AL021910   UNNAMED    388.45
  AL031910   UNNAMED   2451.82
  AL041910   UNNAMED   1868.12
  AL051910   UNNAMED   2898.48
  AL011911   UNNAMED   2311.47
  AL021911   UNNAMED    918.56
  AL031911   UNNAMED   1463.05
  AL041911   UNNAMED   2188.94
  AL051911   UNNAMED    879.45
  AL061911   UNNAMED   1247.37
  AL011912   UNNAMED   2013.79
  AL021912   UNNAMED    973.37
  AL031912   UNNAMED    803.80
  AL041912   UNNAMED    574.43
  AL051912   UNNAMED   1339.65
  AL061912   UNNAMED   1240.51
  AL071912   UNNAMED   1063.75
  AL011913   UNNAMED   1696.84
  AL021913   UNNAMED    949.50
  AL031913   UNNAMED   4734.04
  AL041913   UNNAMED    800.94
  AL051913   UNNAMED   1267.08
  AL061913   UNNAMED    402.78
  AL011914   UNNAMED   1078.96
  AL011915   UNNAMED   1329.37
  AL021915   UNNAMED   5809.13
  AL031915   UNNAMED   2601.71
  AL041915   UNNAMED   1788.58
  AL051915   UNNAMED   1254.26
  AL061915   UNNAMED   2989.92
  AL011916   UNNAMED   1619.49
  AL021916   UNNAMED   1802.84
  AL031916   UNNAMED   3320.69
  AL041916   UNNAMED    879.69
  AL051916   UNNAMED    310.61
  AL061916   UNNAMED   2967.74
  AL071916   UNNAMED   1500.49
  AL081916   UNNAMED   2539.25
  AL091916   UNNAMED    790.10
  AL101916   UNNAMED   2292.02
  AL111916   UNNAMED   2653.27
  AL121916   UNNAMED    614.62
  AL131916   UNNAMED   2771.76
  AL141916   UNNAMED   2099.53
  AL151916   UNNAMED   1576.60
  AL011917   UNNAMED   2376.04
  AL021917   UNNAMED   1967.39
  AL031917   UNNAMED   4064.16
  AL041917   UNNAMED   2580.98
  AL011918   UNNAMED   2697.91
  AL021918   UNNAMED   1977.66
  AL031918   UNNAMED    839.08
  AL041918   UNNAMED    480.24
  AL051918   UNNAMED   1918.47
  AL061918   UNNAMED   1457.58
  AL011919   UNNAMED    569.09
  AL031919   UNNAMED    960.74
  AL021919   UNNAMED   2743.32
  AL041919   UNNAMED    627.55
  AL051919   UNNAMED   1252.82
  AL011920   UNNAMED   3144.10
  AL021920   UNNAMED   2034.71
  AL031920   UNNAMED    680.19
  AL041920   UNNAMED    486.10
  AL051920   UNNAMED   1048.62
  AL011921   UNNAMED   1878.71
  AL021921   UNNAMED    358.82
  AL031921   UNNAMED   4672.29
  AL041921   UNNAMED   1735.80
  AL051921   UNNAMED   3343.64
  AL061921   UNNAMED   2642.07
  AL071921   UNNAMED   1296.99
  AL011922   UNNAMED   1245.31
  AL021922   UNNAMED   5019.95
  AL031922   UNNAMED    898.92
  AL041922   UNNAMED   1330.24
  AL051922   UNNAMED   1046.03
  AL011923   UNNAMED   1737.86
  AL021923   UNNAMED   1591.78
  AL031923   UNNAMED    829.87
  AL041923   UNNAMED   2347.73
  AL051923   UNNAMED   3194.06
  AL061923   UNNAMED   1830.36
  AL071923   UNNAMED   1589.93
  AL081923   UNNAMED   3231.70
  AL091923   UNNAMED    686.79
  AL011924   UNNAMED    867.96
  AL021924   UNNAMED   1023.71
  AL031924   UNNAMED   3916.89
  AL041924   UNNAMED   3796.50
  AL051924   UNNAMED   2347.80
  AL061924   UNNAMED    350.27
  AL071924   UNNAMED   4001.90
  AL081924   UNNAMED   1793.20
  AL091924   UNNAMED    700.43
  AL101924   UNNAMED   1794.97
  AL111924   UNNAMED   1935.97
  AL011925   UNNAMED   1220.95
  AL021925   UNNAMED    806.00
  AL031925   UNNAMED    507.49
  AL041925   UNNAMED   1804.42
  AL011926   UNNAMED   3127.52
  AL021926   UNNAMED   2611.28
  AL031926   UNNAMED   1795.67
  AL041926   UNNAMED   4569.10
  AL051926   UNNAMED    573.44
  AL061926   UNNAMED    984.30
  AL071926   UNNAMED   2808.40
  AL081926   UNNAMED   2253.37
  AL091926   UNNAMED    654.21
  AL101926   UNNAMED   3771.11
  AL111926   UNNAMED    995.97
  AL011927   UNNAMED   5730.96
  AL021927   UNNAMED   2882.13
  AL031927   UNNAMED   1730.87
  AL041927   UNNAMED   2894.60
  AL051927   UNNAMED   1265.89
  AL061927   UNNAMED    958.01
  AL071927   UNNAMED   1214.91
  AL081927   UNNAMED    975.61
  AL011928   UNNAMED   2334.98
  AL021928   UNNAMED   2507.68
  AL031928   UNNAMED   1616.51
  AL041928   UNNAMED   5091.17
  AL051928   UNNAMED   2494.29
  AL061928   UNNAMED   1791.33
  AL011929   UNNAMED   1197.31
  AL021929   UNNAMED   3069.54
  AL031929   UNNAMED   1492.70
  AL041929   UNNAMED   1319.92
  AL051929   UNNAMED   1223.18
  AL011930   UNNAMED   3418.17
  AL021930   UNNAMED   5474.45
  AL031930   UNNAMED    249.33
  AL011931   UNNAMED    912.43
  AL021931   UNNAMED   1510.50
  AL031931   UNNAMED   2190.99
  AL041931   UNNAMED   1161.24
  AL051931   UNNAMED    650.69
  AL061931   UNNAMED   2245.33
  AL071931   UNNAMED   2606.72
  AL081931   UNNAMED   1674.22
  AL091931   UNNAMED    794.28
  AL101931   UNNAMED   2087.74
  AL111931   UNNAMED    280.43
  AL121931   UNNAMED    931.62
  AL131931   UNNAMED    842.80
  AL011932   UNNAMED   1419.41
  AL021932   UNNAMED    929.48
  AL031932   UNNAMED   2622.84
  AL041932   UNNAMED   5644.68
  AL051932   UNNAMED    728.98
  AL061932   UNNAMED   2837.28
  AL071932   UNNAMED   3262.72
  AL081932   UNNAMED   1335.03
  AL091932   UNNAMED   2073.33
  AL101932   UNNAMED    297.60
  AL111932   UNNAMED   1994.01
  AL121932   UNNAMED   1341.31
  AL131932   UNNAMED    992.71
  AL141932   UNNAMED   4426.88
  AL151932   UNNAMED   2307.74
  AL011933   UNNAMED   1142.52
  AL021933   UNNAMED   3651.71
  AL031933   UNNAMED   3075.46
  AL041933   UNNAMED    678.74
  AL051933   UNNAMED   2701.75
  AL061933   UNNAMED   4945.12
  AL071933   UNNAMED   1557.44
  AL081933   UNNAMED   4305.37
  AL091933   UNNAMED   2519.47
  AL101933   UNNAMED    481.06
  AL111933   UNNAMED   1916.08
  AL121933   UNNAMED   4036.77
  AL131933   UNNAMED    922.35
  AL141933   UNNAMED   2543.68
  AL151933   UNNAMED   1604.36
  AL161933   UNNAMED    785.61
  AL171933   UNNAMED   2449.61
  AL181933   UNNAMED   1951.91
  AL191933   UNNAMED   1589.98
  AL201933   UNNAMED    322.00
  AL011934   UNNAMED   3992.58
  AL021934   UNNAMED   1952.20
  AL031934   UNNAMED   1334.50
  AL041934   UNNAMED    750.67
  AL051934   UNNAMED    882.42
  AL061934   UNNAMED    757.51
  AL071934   UNNAMED   1758.79
  AL081934   UNNAMED   1838.65
  AL091934   UNNAMED   2422.01
  AL101934   UNNAMED    776.76
  AL111934   UNNAMED    830.79
  AL121934   UNNAMED   1441.32
  AL131934   UNNAMED   1969.40
  AL011935   UNNAMED   1347.40
  AL021935   UNNAMED   2977.43
  AL031935   UNNAMED   4381.94
  AL041935   UNNAMED    704.54
  AL051935   UNNAMED   2996.09
  AL061935   UNNAMED   1460.39
  AL071935   UNNAMED   1907.76
  AL081935   UNNAMED   1859.75
  AL011936   UNNAMED   1835.35
  AL021936   UNNAMED    553.52
  AL031936   UNNAMED    240.94
  AL041936   UNNAMED    618.78
  AL051936   UNNAMED    956.19
  AL061936   UNNAMED   2853.72
  AL071936   UNNAMED    773.55
  AL081936   UNNAMED    817.00
  AL091936   UNNAMED    820.43
  AL101936   UNNAMED   4673.99
  AL111936   UNNAMED    767.66
  AL121936   UNNAMED    304.11
  AL131936   UNNAMED   4549.22
  AL141936   UNNAMED    744.05
  AL151936   UNNAMED   2232.53
  AL161936   UNNAMED    284.70
  AL171936   UNNAMED   3602.69
  AL011937   UNNAMED   1737.62
  AL021937   UNNAMED   1658.15
  AL031937   UNNAMED   2084.21
  AL041937   UNNAMED   1942.24
  AL051937   UNNAMED    901.26
  AL061937   UNNAMED   2834.04
  AL071937   UNNAMED    848.85
  AL081937   UNNAMED   3477.15
  AL091937   UNNAMED   3058.06
  AL101937   UNNAMED    623.06
  AL111937   UNNAMED    701.50
  AL011938   UNNAMED   1470.09
  AL021938   UNNAMED    622.45
  AL031938   UNNAMED   2566.02
  AL041938   UNNAMED   1637.75
  AL051938   UNNAMED   1272.49
  AL061938   UNNAMED   4802.67
  AL071938   UNNAMED   1579.20
  AL081938   UNNAMED   1201.70
  AL091938   UNNAMED    801.44
  AL011939   UNNAMED   1630.43
  AL021939   UNNAMED   2466.81
  AL031939   UNNAMED   1764.28
  AL041939   UNNAMED    933.85
  AL051939   UNNAMED   2531.95
  AL061939   UNNAMED   2000.60
  AL011940   UNNAMED   1582.06
  AL021940   UNNAMED    985.61
  AL031940   UNNAMED   1854.77
  AL041940   UNNAMED   1820.92
  AL051940   UNNAMED   3985.25
  AL061940   UNNAMED   1707.01
  AL071940   UNNAMED   2095.24
  AL081940   UNNAMED    437.12
  AL091940   UNNAMED   2333.47
  AL011941   UNNAMED    565.79
  AL021941   UNNAMED   3128.12
  AL031941   UNNAMED   1498.80
  AL041941   UNNAMED   2153.45
  AL051941   UNNAMED   3382.06
  AL061941   UNNAMED   1263.92
  AL011942   UNNAMED    878.04
  AL021942   UNNAMED   1607.69
  AL031942   UNNAMED   2045.04
  AL041942   UNNAMED   1619.94
  AL051942   UNNAMED   1900.41
  AL061942   UNNAMED   1485.59
  AL071942   UNNAMED    539.28
  AL081942   UNNAMED   1963.97
  AL091942   UNNAMED    482.65
  AL101942   UNNAMED   1300.35
  AL111942   UNNAMED   1452.01
  AL011943   UNNAMED    666.64
  AL021943   UNNAMED   1831.52
  AL031943   UNNAMED   3052.61
  AL041943   UNNAMED   1789.23
  AL051943   UNNAMED   2124.87
  AL061943   UNNAMED    568.47
  AL071943   UNNAMED   1018.06
  AL081943   UNNAMED   1968.09
  AL091943   UNNAMED   1716.47
  AL101943   UNNAMED    887.98
  AL011944   UNNAMED   2276.66
  AL021944   UNNAMED   1470.67
  AL031944   UNNAMED   1679.85
  AL041944   UNNAMED   2313.50
  AL051944   UNNAMED    885.23
  AL061944   UNNAMED    634.94
  AL071944   UNNAMED   3073.19
  AL081944   UNNAMED    762.34
  AL091944   UNNAMED   3682.75
  AL101944   UNNAMED    817.65
  AL111944   UNNAMED    446.05
  AL121944   UNNAMED   1308.77
  AL131944   UNNAMED   3822.10
  AL141944   UNNAMED    132.86
  AL011945   UNNAMED   3892.25
  AL021945   UNNAMED    417.44
  AL031945   UNNAMED    814.77
  AL041945   UNNAMED   1371.69
  AL051945   UNNAMED    768.28
  AL061945   UNNAMED    818.49
  AL071945   UNNAMED    981.99
  AL081945   UNNAMED   1278.66
  AL091945   UNNAMED   3650.82
  AL101945   UNNAMED   1628.78
  AL111945   UNNAMED   3165.71
  AL011946   UNNAMED    478.25
  AL021946   UNNAMED   1684.31
  AL031946   UNNAMED    320.45
  AL041946   UNNAMED   2887.12
  AL051946   UNNAMED    930.51
  AL061946   UNNAMED   2808.86
  AL071946   UNNAMED    773.29
  AL011947   UNNAMED    503.87
  AL021947   UNNAMED   1531.48
  AL031947   UNNAMED   1389.69
  AL041947   UNNAMED   4940.16
  AL051947   UNNAMED    319.45
  AL061947   UNNAMED   1723.27
  AL071947   UNNAMED   1054.29
  AL081947   UNNAMED    522.01
  AL091947   UNNAMED   1950.53
  AL101947   UNNAMED   2152.90
  AL011948   UNNAMED   1262.78
  AL021948   UNNAMED    546.51
  AL031948   UNNAMED   4024.20
  AL041948   UNNAMED    509.61
